карантин,502530
маска,260985
вирус,194664
коронавирус,175066
covid19,97906
изз,71544
пандемия,68694
тест,66025
эпидемия,64927
корона,53424
самоизоляция,51905
неделя,47221
заражение,46242
статистика,35533
инфекция,31035
врач,29178
ходить,29093
2,28243
китай,26915
заболеть,26049
месяц,26003
вакцина,25572
больница,23727
ивл,23268
умереть,22638
ситуация,21941
мера,21813
борьба,21724
сша,21286
заразить,21243
смертность,20716
распространение,20599
носить,20430
магазин,20330
число,20320
купить,19970
новость,19946
больной,19843
3,19748
италия,19729
1,19646
пневмония,19398
режим,19393
деньга,19296
выходить,19261
апрель,18394
ребёнок,18388
орви,18341
аптека,18048
закончиться,17874
медицинский,17341
начало,17292
власть,17249
коронавирусный,16957
путин,16382
украина,16223
грипп,15971
изоляция,15896
10,15606
тысяча,15474
область,15468
количество,15444
ввести,15316
мама,15236
помощь,14951
условие,14938
поэтому,14700
надеяться,14559
пройти,14543
смерть,14488
заразиться,14346
5,14266
тип,13991
профилактика,13839
гулять,13740
перчатка,13625
проблема,13555
помочь,13481
болеть,13467
связь,13281
сутки,13044
закрыть,13041
период,12811
бояться,12497
короновирус,12443
чтоть,12390
4,12383
любой,12368
аппарат,12320
пара,12180
рф,12168
пациент,12079
соблюдать,11955
смочь,11841
продлить,11806
написать,11742
паника,11706
март,11683
гражданин,11675
заболевание,11404
вчера,11393
школа,11254
читать,11048
объявить,11041
обычный,10984
население,10927
интересно,10923
защита,10859
прийти,10798
точно,10779
полный,10720
30,10656
стоить,10558
респиратор,10467
регион,10351
выявить,10344
помогать,10337
средство,10335
хотеться,10287
оставаться,10239
равно,10232
подтвердить,10194
ранний,10160
общий,10126
правительство,10106
плохой,9845
умирать,9790
скоро,9779
антисептик,9643
рассказать,9610
находиться,9604
бог,9599
covid,9594
готовый,9573
семья,9437
реально,9436
вроде,9361
российский,9342
близкий,9341
болезнь,9294
всякий,9283
фильм,9271
воз,9253
начинать,9140
граница,9108
20,9086
симптом,9086
проходить,9056
результат,9046
лёгкий,9035
отменить,8986
момент,8968
начаться,8958
завтра,8875
появиться,8874
цена,8863
провести,8810
какойтый,8778
нарушение,8745
100,8666
президент,8657
пусть,8636
15,8545
далёкий,8522
видео,8481
пытаться,8459
больший,8450
возможность,8439
верить,8434
медик,8405
группа,8390
закрытый,8366
экономика,8354
отправить,8288
миллион,8244
еда,8232
снять,8217
плюс,8175
заниматься,8132
здоровье,8128
остальной,8103
разный,8084
принять,8078
прийтись,8070
китайский,8056
информация,8021
уровень,8002
штраф,8001
блин,7976
либо,7973
бизнес,7967
